ICSD_ID,Eb_1D,Eb_2D,Eb_3D,formula_sum,formula_structural,name_structure_type,space_group_name,space_group_IT_number,note,note_info
1,0.795,0.852,0.852,'Cr2 O11 Te4','Cr2 Te4 O11',,'P 1 21/c 1',14,,
2,0.221,0.901,1.152,'Co0.93 Mn1.07 O4 Si1','(Mn1.07 Co0.93) (Si O4)',Mg2SiO4,'P n m a',62,,
5,,,,'H4 Na1 O5 P1','Na (H2 P O4) (H2 O)',,'P n a 21',33,containing banned atomic group,center:P
6,,,,'H2 Al2 O9 S1 Te1','Al2 (O H)2 (Te O3) (S O4)',,'P 1 21/m 1',11,containing banned atomic group,center:S
7,,,,'H2 Li1 O3 P1','Li (H2 P O3)',LiH2PO3,'P 21 n b',33,containing banned atomic group,center:P
9,,,,'H2 Cu1 K1 O5 P1','K Cu (P O4) (H2 O)',KCuPO4H2O,'P 1 21/c 1',14,containing banned atomic group,center:P
10,,,,'H14 O25 P6 Sr3','Sr3 (P3 O9)2 (H2 O)7',Sr3(P3O9)2(H2O)7,'P n m a',62,too big structure,2151 A^3
11,,,,'H6 Ca1 N2 O9','Ca (N O3)2 (H2 O)3',,'P 1 21/n 1',14,too big structure,3058 A^3
13,,,,'H1 Ca9 Mn1 O28 P7','Ca9 Mn H (P O4)7',Î²-Ca3(PO4)2,'R 3 c H',161,containing banned atomic group,center:P
14,,,,'Li1 Nd1 O12 P4','Li Nd (P4 O12)',LiNd(PO3)4,'I 1 2/c 1',15,containing banned atomic group,center:P
16,,,,'Cu1 N6 O12 Pb1 Tl2','Tl2 Pb (Cu (N O2)6)',K2Pb(Cu(NO2)6),'F m -3',202,containing banned atomic group,center:N
17,,,,'C2 H8 Co1 K2 O10','K2 (Co (C O3)2 (H2 O)4)',K2Co(CO3)2(H2O)4,'P 1 21/n 1',14,containing banned atomic group,center:C
18,0.926,1.086,1.144,'H6 Ca3 O10 Si2','Ca3 (H Si O4)2 (H2 O)2',,'C 1 c 1',9,,
19,,,,'C1 H4 Na4 O9 P2','Na4 (C O (P O3)2) (H2 O)2',,'P -4',81,containing banned atomic group,center:P
20,1.325,1.338,1.591,'H14 As1 Na3 O10 S1','Na3 (As O3 S) (H2 O)7',,'P 1 1 21',4,,
22,,,,'Cl1 Na1 O2','Na (Cl O2)',,'I 1 2/a 1',15,containing banned atomic group,center:Cl
23,0.021,0.384,0.384,'H14 Cl2 N4 O1 Pd1','(Pd (N H3)4) Cl2 (H2 O)',,'P 4/m b m',127,,
26,0.743,0.79,0.79,'H16 Na2 O11 Si1','Na2 (H2 Si O4) (H2 O)7',Na2H2SiO4(H2O)7,'P 1 21/c 1',14,,
28,,,,'H12 I6 O24 Pb1 Zn1','Zn (Pb (I O3)6) (H2 O)6',,'P -1',2,containing banned atomic group,center:I
29,0.527,1.665,1.671,'Nb2 O5','Nb2 O5',,'P 1 2/m 1',10,,
30,0.355,0.355,1.234,'Fe3 O7 Yb2','Yb2 Fe3 O7',,'P 63/m m c',194,,
31,1.063,1.063,2.845,'Cl10 Cs3 O1 Re2','Cs3 (O (Re Cl5)2)',Cs3Re2Cl10O,'I 4/m m m',139,,
32,1.209,1.386,1.586,'H4 B7 Ba3 Na1 O20 Si2','Na Ba3 (Si2 B7 O16 (O H)4)',,'C 1 2/c 1',15,,
33,0.625,0.683,1.105,'O4 Pb1 W1','Pb (W O4)',PbWO4(mP48),'P 1 21/n 1',14,,
35,,,,'H7 F4 In1 N2 O1','(N2 H5) (In F4 (H2 O))',,'P 21 21 21',19,no BVPA_gui.csv,
36,,,,'C8 I2 Mo2 O8','(((C O)4 Mo)2 I2)',,'P -1',2,containing banned atomic group,center:C
37,1.741,1.741,999,'H4 F8 Fe3 O2','Fe3 F8 (H2 O)2',Fe3F8(H2O)2,'C 1 2/m 1',12,,
38,1.348,2.555,999,'H4 F8 Fe3 O2','Fe3 F8 (H2 O)2',Fe3F8(H2O)2,'C 1 2/m 1',12,,
39,1.954,1.965,1.965,'H4 F5 Fe2 O2','Fe2 F5 (H2 O)2',Fe2F5(H2O)2,'I m m a',74,,
40,1.783,1.874,1.874,'H4 F5 Fe2 O2','Fe2 F5 (H2 O)2',Fe2F5(H2O)2,'I m m a',74,,
41,,,,'H1 F7 K3 O2 Ta1','K2 (Ta (O2) F5) (K H F2)',,'P n a 21',33,no BVPA_gui.csv,
42,0.686,0.686,0.84,'H6 F1 Na1 O6 Te1','(Te (O H)6) (Na F)',Te(OH)6NaF,'R 3 H',146,,
43,,,,'Cl5 N3 O1 P2 S1','(N P Cl2)2 (N S O Cl)',,'P 21 21 21',19,containing banned atomic group,center:S
45,0.247,0.33,0.33,'Bi3 Fe1 Mo2 O12','Bi3 (Fe O4) (Mo O4)2',K2Th(MoO4)3,'C 1 2/c 1',15,,
46,2.077,2.077,2.077,'Ba0.5 Mn1 O2.84 Sr0.5','(Ba0.5 Sr0.5) Mn O2.84',BaMnO3,'P 63/m m c',194,,
47,1.732,1.732,1.97,'Ba0.1 Mn1 O2.96 Sr0.9','(Ba0.1 Sr0.9) Mn O2.96',BaMnO3,'P 63/m m c',194,,
48,,,,'Ba1 Fe1 O2.73','Ba Fe O2.73',BaFeO3-x,'P 63/m m c',194,no BVPA_gui.csv,
51,0.555,0.646,0.892,'H10 Be1 Cu1 F4 O5','(Cu (H2 O)4) (Be F4) (H2 O)',,'P -1',2,,
52,,,,'C3 H1 Au1.5 I3 K1.5 N3 O0.5','(K (Au I2) (C N)2)1.5 (H2 O)0.5',,'P 1 21/c 1',14,no BVPA_gui.csv,
54,,,,'H0.6 F2.66 Fe1 O0.47','Fe F2.66 (O H)0.34 (H2 O)0.13',,'C m c m',63,too long calculation time,
55,,,,'H42 Mo18 Na4 O82 P2','Na4 H2 (P2 Mo18 O62) (H2 O)20',,'C 1 2/c 1',15,too big structure,3571 A^3
56,,,,'H42 N6 O71 P2 W18','(N H4)6 (P2 W18 O62) (H2 O)9',,'P -1',2,too big structure,3204 A^3
58,,,,'Li2 O4 S1','Li2 (S O4)',Li2SO4,'P 1 21/a 1',14,containing banned atomic group,center:S
60,,,,'H15 B3 Mg1 O13','Mg (B3 O3 (O H)5) (H2 O)5',,'P 1 21/c 1',14,no BVPA_gui.csv,
61,0.217,0.217,0.217,'K1 O4 Tc1','K (Tc O4)',CaWO4,'I 41/a Z',88,,
62,0.159,0.193,0.193,'K1 O4 Re1','K (Re O4)',CaWO4,'I 41/a Z',88,,
63,0.252,0.582,0.657,'O4 Os1','Os O4',OsO4,'C 1 2/c 1',15,,
65,,,,'H6 Na1 O6 P1','Na (H2 P O4) (H2 O)2',NaH2PO4(H2O)2,'P 21 21 21',19,containing banned atomic group,center:P
66,,,,'H6 Na1 O6 P1','Na (H2 P O4) (H2 O)2',NaH2PO4(H2O)2,'P 21 21 21',19,containing banned atomic group,center:P
73,0.206,0.961,0.961,'Mo1 O7 Te2','Mo Te2 O7',SiP2O7,'P 1 21/c 1',14,,
76,,,,'K3 O9 P3','K3 (P3 O9)',,'P 1 21/n 1',14,containing banned atomic group,center:P
78,1.21,1.291,1.3,'H9 As1 Mg1 O8','Mg (As O3 (O H)) (H2 O)4',,'P b c a',61,,
80,0.546,0.546,3.964,'Bi1 Ce1 O1 S2','Ce Bi O S2',CeBiOS2,'P 4/n m m Z',129,,
81,0.806,1.387,1.387,'La4 O10 Re2','La4 (Re2) O10',La4(Re2)O10,'I 4/m',87,,
82,,,,'H4 Ca1 N2 O8','Ca (N O3)2 (H2 O)2',,'C c c a Z',68,too big structure,2469 A^3
84,0.973,0.973,1.623,'Fe6.32 Mn1 O38 Pb0.83 Ti13.68','Pb0.83 Ti13.68 Fe6.32 Mn O38',Ca2Zn4Ti16O38,'R -3 R',148,,
87,,,,'C2 H6 Co1 N2 O3 S2','Co (S C N)2 (H2 O)3',,'C 1 2/c 1',15,containing banned atomic group,center:N
88,0.526,0.531,0.719,'K2 O10 W3','K2 W3 O10',,'P 1 2/c 1',13,,
89,,,,'H28 Cd3 O32 P6','Cd3 (P3 O9)2 (H2 O)14',Cd3(P3O9)2(H2O)14,'P -3',147,containing banned atomic group,center:P
